Key	content	en	es	pt	fr	ru
ap_ru_tmall_membership_20180719_sub	 Скидки для постоянных покупателей!					
ap_es_ae_trivia_20180706_sub	 😎Numerosos cupones de US $2 y Vidas Extra, para ti y cada amigo al que invites 💸		 😎Numerosos cupones de US $2 y Vidas Extra, para ti y cada amigo al que invites 💸			
ap_dp_homeimprovement_20171112	 Shop these items for a home that will impress and insipire		¿Necesitas un cambio? Ideas frescas e inspiradoras para presumir de casa	Sem ideias? Separamos opções para deixar sua casa igual a da revista ;)	Les meilleurs articles pour la maison de vos rêves	Затеяли ремонт? Эта распродажа - для вас!
ap_cp_f_women_clothing_20180705_sub	 Shop trending styles this season		Manual de estilo de los festivales	As tendências chegaram	Les nouvelles tendances mode sont arrivées!	Новые тренды уже здесь!
ap_dp_babytoys_20180225_sub	 We know being a super parent is hard		Para súper mamás y papás	Para os super pais e mães!	Pour les super papas et mamans!	Как порадовать себя и ребёнка всего за $1
ap_cp_fashion50%off_20180315_main	' Women''s Favorites'		Perfecto para ellas	O que as Mulheres querem	Ce que veulent les Femmes	Чего хотят женщины?
ap_bloggersrank_20170627	 А ты вошёл в июньский рейтинг авторов? Узнай сейчас					
ap_ru_tmall_BTSmain_20180810_sub	 Выбирай технику и смартфоны со скидкой до 60%					
ap_island_dp_Jewelry_20180718_main	 Где хранить свои сокровища?					
ap_ru_aliquiz_20180526_sub	 Полчаса, 12 вопросов и ты победитель!					 Полчаса, 12 вопросов и ты победитель!
ap_ru_recharge_discount_20180822main	 Пополни баланс выгодно!					
ap_ru_recharge_discount_20180822sub	 Скидка самому быстрому. Попробуешь?					
ap_ru_xiaomi_20180421_sub	-25% на смартфоны Xiaomi. Только 21 апреля!					
ap_ru_tmkidspg_20180313_main	-50% для супер-мам!					
ap_es_plaza_appliances_20170614	¡6 artículos para mejorar tu calidad de vida con envío desde España!					
ap_es_ae_trivia_31_20180714_main	¡A por el bote! 💰		¡A por el bote! 💰			
ap_es_daily_category_201808011_sub	¡Aprovecha esta promo de verano cuanto antes!					
ap_kissingday_es	¡Celebra el Día Internacional del Beso! Prepara esos morritos aquí					
ap_328_es_main_20180320_main	¡Celebra nuestro aniversario en Plaza!					
ap_es_monitors_20180809_main	¡Dale a Full HD este verano!					
ap_es_ilife_20180117	¡Deja que limpie por ti! Hazte con tu robot de limpieza ILIFE con entrega en 2-5 días.					
ap_es_phone_recharge_20180618_sub	¡Descuento de 1€ si eres nuevo usuario!		¡Descuento de 1€ si eres nuevo usuario!			
